Report Refresh Date,Mailbox Storage Used (Byte),Site Storage Used (Byte),Report Date,Report Period
2022-04-05,839840130,7146641660645,2022-04-05,180
2022-04-05,837796419,7109274294897,2022-04-04,180
2022-04-05,827445820,7073240689813,2022-04-03,180
2022-04-05,802130802,7073240689813,2022-04-02,180
2022-04-05,797401402,7048294294403,2022-04-01,180
2022-04-05,758952765,7048294294403,2022-03-31,180
2022-04-05,824255915,6918100510514,2022-03-30,180
2022-04-05,828196843,6918100510514,2022-03-29,180
2022-04-05,826960332,6918100510514,2022-03-28,180
2022-04-05,826301332,6888371497885,2022-03-27,180
2022-04-05,825612615,6928729097866,2022-03-26,180
2022-04-05,820294342,6930432426561,2022-03-25,180
2022-04-05,685753373,6892162462733,2022-03-24,180
2022-04-05,737683496,6892162462733,2022-03-23,180
2022-04-05,809259861,6877153902653,2022-03-22,180
2022-04-05,817976530,6850438084606,2022-03-21,180
2022-04-05,820962688,6770328613017,2022-03-20,180
2022-04-05,808699574,6762123433491,2022-03-19,180
2022-04-05,807813612,6756606807778,2022-03-18,180
2022-04-05,807904394,6690049703013,2022-03-17,180
2022-04-05,814352331,6685378796213,2022-03-16,180
2022-04-05,816855058,6671706163599,2022-03-15,180
2022-04-05,817662996,6574635203852,2022-03-14,180
2022-04-05,812351475,6551198301238,2022-03-13,180
2022-04-05,813997142,6551198301238,2022-03-12,180
2022-04-05,784571191,6550527873567,2022-03-11,180
2022-04-05,786283636,6513160280237,2022-03-10,180
2022-04-05,813587426,6513160280237,2022-03-09,180
2022-04-05,807672557,6475521958346,2022-03-08,180
2022-04-05,809821782,6382697169003,2022-03-07,180
2022-04-05,641964966,6382697169003,2022-03-06,180
2022-04-05,613916617,6378254111805,2022-03-05,180
2022-04-05,614745092,6376820204610,2022-03-04,180
2022-04-05,679413867,6320707059356,2022-03-03,180
2022-04-05,741919187,6320707059356,2022-03-02,180
2022-04-05,749336584,6292894631695,2022-03-01,180
2022-04-05,741799894,6268180208257,2022-02-28,180
2022-04-05,792785067,6251096956797,2022-02-27,180
2022-04-05,750960909,6255211636267,2022-02-26,180
2022-04-05,714168398,6251415569028,2022-02-25,180
2022-04-05,732833987,6192390743109,2022-02-24,180
2022-04-05,741732967,6157806159997,2022-02-23,180
2022-04-05,714050530,6087078924217,2022-02-22,180
2022-04-05,709655798,6087078924217,2022-02-21,180
2022-04-05,617248243,6087078924217,2022-02-20,180
2022-04-05,644472179,6067525490306,2022-02-19,180
2022-04-05,631243438,6067525490306,2022-02-18,180
2022-04-05,628192146,6051378542163,2022-02-17,180
2022-04-05,643242997,6020154661767,2022-02-16,180
2022-04-05,648567263,6002313637400,2022-02-15,180
2022-04-05,652958576,5904800059142,2022-02-14,180
2022-04-05,705876631,5904800059142,2022-02-13,180
2022-04-05,683071895,5933039020304,2022-02-12,180
2022-04-05,662351164,5965089391437,2022-02-11,180
2022-04-05,767405823,5897267898721,2022-02-10,180
2022-04-05,747312706,5921934190844,2022-02-09,180
2022-04-05,271948150,5921934190844,2022-02-08,180
2022-04-05,680507523,5863914585547,2022-02-07,180
2022-04-05,761903959,5800654124746,2022-02-06,180
2022-04-05,762466958,5800654124746,2022-02-05,180
2022-04-05,761582038,5757490624752,2022-02-04,180
2022-04-05,761767441,5742558407649,2022-02-03,180
2022-04-05,756201085,5648861262261,2022-02-02,180
2022-04-05,756423892,5605141636459,2022-02-01,180
2022-04-05,756692982,5600801045285,2022-01-31,180
2022-04-05,755116182,5573871111449,2022-01-30,180
2022-04-05,755420937,5631592691501,2022-01-29,180
2022-04-05,743654369,5652550176138,2022-01-28,180
2022-04-05,754842210,5652550176138,2022-01-27,180
2022-04-05,754124142,5617815139346,2022-01-26,180
2022-04-05,750877446,5607147920032,2022-01-25,180
2022-04-05,751750687,5600711507063,2022-01-24,180
2022-04-05,750153533,5600711507063,2022-01-23,180
2022-04-05,749439821,5595445376891,2022-01-22,180
2022-04-05,729005563,5590806438347,2022-01-21,180
2022-04-05,749396179,5567108368243,2022-01-20,180
2022-04-05,436064039,5545634263931,2022-01-19,180
2022-04-05,735669467,5486954872695,2022-01-18,180
2022-04-05,743386117,5430417364517,2022-01-17,180
2022-04-05,743986816,5398608649063,2022-01-16,180
2022-04-05,733309979,5398608649063,2022-01-15,180
2022-04-05,732780012,5401947621948,2022-01-14,180
2022-04-05,725951786,5360133677855,2022-01-13,180
2022-04-05,669909856,5300970478601,2022-01-12,180
2022-04-05,738459780,5224292162836,2022-01-11,180
2022-04-05,737139503,5257091215510,2022-01-10,180
2022-04-05,735298299,5237854162484,2022-01-09,180
2022-04-05,734730100,5237854162484,2022-01-08,180
2022-04-05,733264224,5147996222655,2022-01-07,180
2022-04-05,715491800,5147996222655,2022-01-06,180
2022-04-05,710633628,5102165232235,2022-01-05,180
2022-04-05,705509253,5006999244170,2022-01-04,180
2022-04-05,730284260,4980990235897,2022-01-03,180
2022-04-05,729566309,4945131240821,2022-01-02,180
2022-04-05,729604697,4945605177720,2022-01-01,180
2022-04-05,726429867,4933535624218,2021-12-31,180
2022-04-05,728529543,4933535624218,2021-12-30,180
2022-04-05,726857141,4920481467099,2021-12-29,180
2022-04-05,726994495,4896038740420,2021-12-28,180
2022-04-05,725517174,4862645776214,2021-12-27,180
2022-04-05,725885956,4817906801535,2021-12-26,180
2022-04-05,726413214,4846235302844,2021-12-25,180
2022-04-05,716794311,4822852923808,2021-12-24,180
2022-04-05,710542079,4822852923808,2021-12-23,180
2022-04-05,711942422,4757045744289,2021-12-22,180
2022-04-05,708781528,4721158791273,2021-12-21,180
2022-04-05,720103474,4706491764221,2021-12-20,180
2022-04-05,720053088,4665506100286,2021-12-19,180
2022-04-05,717617830,4659902873594,2021-12-18,180
2022-04-05,704346426,4659901299436,2021-12-17,180
2022-04-05,708885525,4669500883306,2021-12-16,180
2022-04-05,712281059,4614265805555,2021-12-15,180
2022-04-05,714093434,4614265805555,2021-12-14,180
2022-04-05,714508908,4595806873652,2021-12-13,180
2022-04-05,713581379,4583325587969,2021-12-12,180
2022-04-05,711333499,4583547032449,2021-12-11,180
2022-04-05,680639656,4583395601977,2021-12-10,180
2022-04-05,692502626,4566043664639,2021-12-09,180
2022-04-05,691101909,4530817880738,2021-12-08,180
2022-04-05,685448181,4530817880738,2021-12-07,180
2022-04-05,682401050,4530817880738,2021-12-06,180
2022-04-05,692338295,4521104873496,2021-12-05,180
2022-04-05,679789400,4517518337092,2021-12-04,180
2022-04-05,647285698,4517518337092,2021-12-03,180
2022-04-05,677989413,4518080551710,2021-12-02,180
2022-04-05,698803276,4480631688780,2021-12-01,180
2022-04-05,699742947,4467002048057,2021-11-30,180
2022-04-05,698875761,4450336895368,2021-11-29,180
2022-04-05,697632674,4441786433581,2021-11-28,180
2022-04-05,696149627,4453741421283,2021-11-27,180
2022-04-05,688470329,4455686274042,2021-11-26,180
2022-04-05,694748235,4545644420804,2021-11-25,180
2022-04-05,692309803,4530730376207,2021-11-24,180
2022-04-05,687002271,4524574018183,2021-11-23,180
2022-04-05,692995221,4499653588166,2021-11-22,180
2022-04-05,691756158,4487843684136,2021-11-21,180
2022-04-05,689384086,4486932877462,2021-11-20,180
2022-04-05,687497270,4491660903780,2021-11-19,180
2022-04-05,689865226,4568466130068,2021-11-18,180
2022-04-05,686075288,4506240116134,2021-11-17,180
2022-04-05,684638591,4461862278308,2021-11-16,180
2022-04-05,665920267,4429891101167,2021-11-15,180
2022-04-05,664076534,4369939081790,2021-11-14,180
2022-04-05,660345608,4363512017446,2021-11-13,180
2022-04-05,645767471,4358454486091,2021-11-12,180
2022-04-05,661043970,4338147531484,2021-11-11,180
2022-04-05,509591999,4328471943363,2021-11-10,180
2022-04-05,652640180,4286833590551,2021-11-09,180
2022-04-05,671369017,4286833590551,2021-11-08,180
2022-04-05,664176218,4279302423433,2021-11-07,180
2022-04-05,665337985,4258747617507,2021-11-06,180
2022-04-05,662837420,4257835421983,2021-11-05,180
2022-04-05,662974165,4246074650495,2021-11-04,180
2022-04-05,666602174,4226146625480,2021-11-03,180
2022-04-05,666109205,4212125281046,2021-11-02,180
2022-04-05,671968725,4193989161975,2021-11-01,180
2022-04-05,668371242,4181677526781,2021-10-31,180
2022-04-05,667252176,4182795539079,2021-10-30,180
2022-04-05,663280855,4181336351934,2021-10-29,180
2022-04-05,663883411,4170062299324,2021-10-28,180
2022-04-05,663226226,4213587162220,2021-10-27,180
2022-04-05,660136091,4208984341889,2021-10-26,180
2022-04-05,658257393,4201552041584,2021-10-25,180
2022-04-05,656903764,4184713765802,2021-10-24,180
2022-04-05,659116807,4184713765802,2021-10-23,180
2022-04-05,643432367,4185905980256,2021-10-22,180
2022-04-05,635590691,4173195656421,2021-10-21,180
2022-04-05,653040610,4167572844743,2021-10-20,180
2022-04-05,650716817,4168067387429,2021-10-19,180
2022-04-05,653209468,4155061558398,2021-10-18,180
2022-04-05,651560920,4130825726938,2021-10-17,180
2022-04-05,653535258,4130825726938,2021-10-16,180
2022-04-05,653564623,4125631407514,2021-10-15,180
2022-04-05,647134025,4125629964592,2021-10-14,180
2022-04-05,649211861,4101202525052,2021-10-13,180
2022-04-05,646700986,4107158727427,2021-10-12,180
2022-04-05,645481214,4073837101789,2021-10-11,180
2022-04-05,645509585,4065014700861,2021-10-10,180
2022-04-05,644228410,4064759201474,2021-10-09,180
2022-04-05,644740189,4056719706992,2021-10-08,180
